"","text","year"
"1","RESOLVED, That the Board of Domestic Missions be instructed to take all prudent measures, for the religious instruction of our colored population.",1845
"2","	RESOLVED unanimously, That the thanks of this Convention are due, and are hereby tendered, to the citizens of Augusta, for the kind hospitalities, so generously extended to us during our meeting, and we earnestly supplicate that God's mercy may descend in rich effusions, and more than repay in spiritual blessings, the efforts of our friends to render our stay among them so agreeable.	RESOLVED, That the thanks of this Convention be tendered to the several Railroad and other companies, for the facilities afforded the members in attending this meeting.	RESOLVED, That the thanks of the Convention, be tendered to the publishers of the Chronicle & Sentinel.",1845
"3","RESOLVED, That the Aborigines of America, have strong claims on American christians for the Gospel, and as the Indian Mission Association has been organized with special reference to their spiritual benefit, we recommend the churches to sustain that body with zeal and liberality.",1845
"4","RESOLVED, That with profound gratitude to the Great Head of the Church, this Convention recognizes the harmonious and unanimous action to which it has arrived; and that we do regard the exhibition of the christian spirit which has governed its deliberations, as a pledge of the divine blessing in the origin and prosecution of this organization.",1845
"5","RESOLVED, That this Convention recommend to the Board of Domestic Missions, to direct its effective attention to aid the present effort, to establish the Baptist cause in the city of New Orleans.",1845
"6","RESOLVED, That the Board of Domestic Missions be instructed to take all prudent measures, for the religious instruction of our colored population.",1845
"7","RESOLVED, That the Foreign Mission Board of this Convention be instructed to communicate with the acting Board of the Baptist Triennial Convention, in reference to any claim we may have upon that Convention, or any claim which that body may have, or think they have upon us, and that the said Board report fully at the next meeting of this Convention.",1845
"8","	WHEREAS, The American and Foreign Bible Society was originated in circumstances, and organized on principles, which should render it dear to every Baptist; and whereas, this Society has nobly sustained these principles in the midst of much opposition:	THEREFORE, BE IT RESOLVED, That this Convention would do nothing to weaken the force of these principles, to diminish the influence which has been so successfully exerted in their maintenance, or to alienate the confidence that should be reposed in the integrity with which the Society will, by divine aid, labor to perpetuate them.	As it is indispensable, however, to preserve the cordial and efficient union of the whole constituency of this body, in all its benevolent operations, and to avoid all occasion of alienation in any part of it; and more especially, as it is the desire of a large portion of this constituency to have its Bible, as it has its Mission agencies, within its own precincts:	THEREFORE:	(1)  RESOLVED, That this Convention do now constitute its Mission Boards, as its agents for the distribution of the Bible.  The Foreign Mission Board will, therefore, collect and receive the funds for foreign distribution, and make such appropriation of them as shall in their judgment seem expedient, except in cases in which the donors shall make specific designation of their contributions.	(2)  That it be recommended to the Boards, to cultivate the most friendly intercourse with the American and Foreign Bible Society, in the great work of the BIBLE TRANSLATED, AND DISTRIBUTED IN ALL LANDS.",1846
"9","	RESOLVED, That the thanks of this Convention are hereby tendered to the editors of the city papers, for their attendance on, and their report of, the proceedings of the meetings of this Convention.	RESOLVED unanimously, That the thanks of this Convention are due, and are hereby tendered, to the citizens of Richmond, for the kind hospitalities so generously extended to us during our meeting; and we earnestly supplicate that God's mercy may descend in rich effusions, and more than repay in spiritual blessings, the efforts of our friends to render our stay among them so agreeable.",1846
"10","RESOLVED, That it be recommended to the churches to foster and sustain those Southern institutions of learning, which are established for the education of young men who have the gospel ministry in view.",1846
"11","RESOLVED, That the thanks of this body be tendered to its presiding officer, the Rev. Wm. B. Johnson, for the dignity and kindness with which the duties of the chair have been fulfilled.",1846
"12","RESOLVED, That this Convention rejoice in the enlarged and successful labors of the American Indian Mission Association, and tender to that body assurances of our fraternal and christian sympathies in its labors of love.",1846
